company,companyLabel,productTypeLabel,revenue,revenueYear,revenueCurrencyLabel,employees,employeesYear,netProfit,netProfitYear,netProfitCurrencyLabel
http://www.wikidata.org/entity/Q129256375,Fresh Corner,чай,,,,,,,,
http://www.wikidata.org/entity/Q130334843,Delikana,кофе,,,,,,,,
http://www.wikidata.org/entity/Q130868061,Stop Cafe,кофе,,,,,,,,
http://www.wikidata.org/entity/Q131426654,Белкофе,кофе,2033000,2023,Белорусский рубль,49,2016,7000,2023,Белорусский рубль
http://www.wikidata.org/entity/Q131936188,Retrograde Wrexham,кофе,,,,,,,,
http://www.wikidata.org/entity/Q132291927,Fleur de Café,кофе,,,,18,2024,,,
http://www.wikidata.org/entity/Q132291927,Fleur de Café,чай,,,,18,2024,,,
http://www.wikidata.org/entity/Q135728368,Saquella,кофе,,,,,,,,
http://www.wikidata.org/entity/Q136734522,La Donuteria,кофе,,,,,,,,
http://www.wikidata.org/entity/Q136735524,Caffé Trieste,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137293468,Dreamers Coffee Roasters,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137293570,Miacucina,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137293809,PRESERVE,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137533120,Happy Farmer,кофе,,,,,,,,
http://www.wikidata.org/entity/Q137610754,Q137610754,кофе,,,,280,2024,,,
http://www.wikidata.org/entity/Q137888394,Miopane USA,кофе,,,,,,,,
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,кофе,,,,,,,,
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,чай,,,,,,,,
http://www.wikidata.org/entity/Q1502774,Massimo Zanetti Beverage Group,кофе,,,,,,,,
http://www.wikidata.org/entity/Q15951082,Русский продукт,кофе,,,,,,,,
http://www.wikidata.org/entity/Q16908964,T K Group of Industries,чай,,,,,,,,
http://www.wikidata.org/entity/Q16951700,Sumo Salad,кофе,,,,,,,,
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,33439000,2014,евро,3000,2020,13000000,2018,евро
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,33439000,2014,евро,3000,2020,13500000,2020,евро
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,33439000,2014,евро,3000,2020,12133000,2014,евро
http://www.wikidata.org/entity/Q16966589,TWG Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q16993987,Gaviña Gourmet Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q16998937,La Prima Espresso Company,кофе,,,,,,,,
http://www.wikidata.org/entity/Q17000871,Dwinell-Wright Company,кофе,,,,,,,,
http://www.wikidata.org/entity/Q1704731,Габет,кофе,,,,,,,,
http://www.wikidata.org/entity/Q17059517,Yorkshire Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q17064706,Limuru Tea Company Limited,чай,,,,,,,,
http://www.wikidata.org/entity/Q17069332,Esquires,кофе,,,,,,,,
http://www.wikidata.org/entity/Q17087777,Two Leaves Tea Company,чай,,,,,,,,
http://www.wikidata.org/entity/Q17110502,Kakuzi Limited,чай,,,,,,,,
http://www.wikidata.org/entity/Q17119335,Upton Tea Imports,чай,,,,,,,,
http://www.wikidata.org/entity/Q17165535,BKI Foods,кофе,940000000,2024,датская крона,245,2024,,,
http://www.wikidata.org/entity/Q17165535,BKI Foods,чай,940000000,2024,датская крона,245,2024,,,
http://www.wikidata.org/entity/Q175106,Тим Хортонс,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18148458,Farmer Brothers,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18161207,Джок Уиллис Шиппинг Лайн,чай,,,,,,,,
http://www.wikidata.org/entity/Q18166370,Pie Face,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18208286,Bucking Bull,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18477422,Companhia Agrícola e Pastoril d’Oeste de São Paulo,кофе,,,,,,,,
http://www.wikidata.org/entity/Q18688965,Meira,кофе,,,,,,,,
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,кофе,,,,,,,,
http://www.wikidata.org/entity/Q19872246,American Tea Room,чай,,,,,,,,
http://www.wikidata.org/entity/Q19903001,кофеварение,кофе,,,,,,,,
http://www.wikidata.org/entity/Q19960469,Q19960469,кофе,,,,,,,,
http://www.wikidata.org/entity/Q20053402,Coca Cola Brasil,чай,,,,,,,,
http://www.wikidata.org/entity/Q2044120,PG Tips,чай,,,,,,,,
http://www.wikidata.org/entity/Q20749102,Akbar Tea,чай,,,,,,,,
http://www.wikidata.org/entity/Q2086676,Q2086676,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2182096,Katwijk,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2183106,Zoelen (Commewijne),кофе,,,,,,,,
http://www.wikidata.org/entity/Q2202850,Röstfein,кофе,,,,,,,,
http://www.wikidata.org/entity/Q23058374,Cafè Neo,кофе,,,,,,,,
http://www.wikidata.org/entity/Q23461663,La Colombe Coffee Roasters,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2363097,кофеобжарочное производство,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2425276,Tetley,чай,,,,,,,,
http://www.wikidata.org/entity/Q24934990,Mlesna,чай,,,,,,,,
http://www.wikidata.org/entity/Q24945529,Heladiv,чай,,,,,,,,
http://www.wikidata.org/entity/Q25021306,Maya Tea Company,чай,,,,,,,,
http://www.wikidata.org/entity/Q25303121,JDE Peet’s,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2637272,Wayne’s Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2695932,Stumptown Coffee Roasters,кофе,,,,,,,,
http://www.wikidata.org/entity/Q27431294,Coffee Method,кофе,,,,,,,,
http://www.wikidata.org/entity/Q28229714,Gregorys Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q2869396,Atlantic Grupa,кофе,987082000,2023,евро,5274,2024,31220000,2023,евро
http://www.wikidata.org/entity/Q2915350,Осем,кофе,,,,,,,,
http://www.wikidata.org/entity/Q301301,Nespresso,кофе,,,,,,,,
http://www.wikidata.org/entity/Q3019129,DavidsTea,чай,,,,,,,,
http://www.wikidata.org/entity/Q3058833,кафе,кофе,,,,,,,,
http://www.wikidata.org/entity/Q30591352,Bo's Coffee,кофе,,,,,,,,
http://www.wikidata.org/entity/Q30674569,Paul Bassett,чай,,,,,,,,
http://www.wikidata.org/entity/Q30740477,Scop TI,чай,,,,,,,,
http://www.wikidata.org/entity/Q3079325,Ито Эн,чай,,,,,,,,
http://www.wikidata.org/entity/Q30891188,Шоколадница,кофе,,,,,,,,
http://www.wikidata.org/entity/Q3114287,McCafé,кофе,,,,,,,,
http://www.wikidata.org/entity/Q3138841,Van Nelle,кофе,,,,,,,,
http://www.wikidata.org/entity/Q3138841,Van Nelle,чай,,,,,,,,
http://www.wikidata.org/entity/Q3268492,Gevalia,кофе,,,,,,,,
http://www.wikidata.org/entity/Q327751,Kraft Foods,кофе,,,,22500,2015,,,
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1720000000,2016,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,959000000,2022,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1353000000,2006,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1924000000,2021,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1929000000,2019,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1464000000,2005,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,4180000000,2007,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1672000000,2012,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1956000000,2020,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,2453000000,2017,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1282000000,2015,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1422000000,2013,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,2349000000,2018,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1870000000,2010,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1671000000,2011,евро
