company,companyLabel,productTypeLabel,countryLabel,hqLabel,hqCoord,foundingYearShort
http://www.wikidata.org/entity/Q3554415,Van Houtte,кофе,,Монреаль,Point(-73.5868411 45.5033426),1919
http://www.wikidata.org/entity/Q4033598,Ahmad Tea,чай,,Великобритания,Point(-2.0 54.6),1986
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,кофе,,Новосибирск,Point(82.916666666 55.033333333),1997
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,кофе,,Россия,Point(94.25 66.416666666),1997
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,чай,,Новосибирск,Point(82.916666666 55.033333333),1997
http://www.wikidata.org/entity/Q4051716,Traveler’s Coffee,чай,,Россия,Point(94.25 66.416666666),1997
http://www.wikidata.org/entity/Q4260444,J.CO Donuts,кофе,Индонезия,Джакарта,Point(106.826944444 -6.175277777),2005
http://www.wikidata.org/entity/Q4795497,Aroma Café,кофе,Великобритания,Буэнос-Айрес,Point(-58.381944444 -34.599722222),1991
http://www.wikidata.org/entity/Q4795497,Aroma Café,кофе,Аргентина,Буэнос-Айрес,Point(-58.381944444 -34.599722222),1991
http://www.wikidata.org/entity/Q4906821,Bigelow Tea Company,чай,,Фэрфилд,Point(-73.271944444 41.175833333),1945
http://www.wikidata.org/entity/Q4926090,Blenz Coffee,кофе,,Ванкувер,Point(-123.113888888 49.260833333),1992
http://www.wikidata.org/entity/Q4928917,Blue Bottle Coffee Company,кофе,США,Окленд,Point(-122.25 37.8),2002
http://www.wikidata.org/entity/Q5017191,Caffè Pascucci,кофе,Италия,,,1883
http://www.wikidata.org/entity/Q5017199,Caffé Vita Coffee Roasting Company,кофе,США,Сиэтл,Point(-122.319019444 47.614002777),1995
http://www.wikidata.org/entity/Q5017235,Café Coffee Day,кофе,Индия,Бангалор,Point(77.5912997 12.9791198),1996
http://www.wikidata.org/entity/Q5017235,Café Coffee Day,чай,Индия,Бангалор,Point(77.5912997 12.9791198),1996
http://www.wikidata.org/entity/Q5017260,Café Rico,кофе,США,Понсе,Point(-66.60063983 18.00867983),1930
http://www.wikidata.org/entity/Q5017286,Cafédirect,кофе,Великобритания,Лондон,Point(-0.1275 51.507222222),1991
http://www.wikidata.org/entity/Q5121803,Circus Drive-In,кофе,США,Wall Township,Point(-74.05222 40.1616),1954
http://www.wikidata.org/entity/Q5121803,Circus Drive-In,чай,США,Wall Township,Point(-74.05222 40.1616),1954
http://www.wikidata.org/entity/Q5140895,Coffee Beanery,кофе,США,Флашинг,Point(-83.851111111 43.063055555),1976
http://www.wikidata.org/entity/Q5140923,Coffee Republic,кофе,Великобритания,Лондон,Point(-0.1275 51.507222222),1995
http://www.wikidata.org/entity/Q5140932,Coffee Time,кофе,Канада,Торонто,Point(-79.386666666 43.670277777),1982
http://www.wikidata.org/entity/Q5288031,Dodwell & Co.,чай,,Шанхай,Point(121.469166666 31.2325),1891
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Индонезия,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Сингапур,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Бахрейн,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Австралия,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Мальдивы,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Малайзия,Maylands,Point(115.899 -31.931),1990
