tea,teaLabel,type,typeLabel,country,countryLabel,processingMethod,processingMethodLabel,subclass,subclassLabel,image
http://www.wikidata.org/entity/Q484083,зелёный чай,http://www.wikidata.org/entity/Q6097,чай,,,,,http://www.wikidata.org/entity/Q27684991,kampo herb,http://commons.wikimedia.org/wiki/Special:FilePath/Green%20tea%20-%20%E7%B7%91%E8%8C%B6%20-%20Flickr%20-%20Kanko.jpg
http://www.wikidata.org/entity/Q940047,Каркаде,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Chai%20torsh%20-%20Hibiscus%20tea.png
http://www.wikidata.org/entity/Q940047,Каркаде,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Homemade%20sorrel%20drink.jpg
http://www.wikidata.org/entity/Q492205,Гранулированный чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Assam%20CTC%20Hanamizuki%202009.JPG
http://www.wikidata.org/entity/Q1061187,имбирный чай,,,http://www.wikidata.org/entity/Q334,Сингапур,,,http://www.wikidata.org/entity/Q111028903,root tea,http://commons.wikimedia.org/wiki/Special:FilePath/Ginger%20tea-01.jpg
http://www.wikidata.org/entity/Q1061187,имбирный чай,,,http://www.wikidata.org/entity/Q334,Сингапур,,,http://www.wikidata.org/entity/Q111028903,root tea,http://commons.wikimedia.org/wiki/Special:FilePath/Teh%20Halia%20%28Singapore%29.jpg
http://www.wikidata.org/entity/Q1061187,имбирный чай,,,http://www.wikidata.org/entity/Q334,Сингапур,,,http://www.wikidata.org/entity/Q111028903,root tea,http://commons.wikimedia.org/wiki/Special:FilePath/Wedang%20Jahe.jpg
http://www.wikidata.org/entity/Q348958,холодный чай,,,,,,,http://www.wikidata.org/entity/Q147538,освежающий напиток,http://commons.wikimedia.org/wiki/Special:FilePath/NCI%20iced%20tea.jpg
http://www.wikidata.org/entity/Q4289155,Q4289155,,,,,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q348958,холодный чай,,,,,,,http://www.wikidata.org/entity/Q147538,освежающий напиток,http://commons.wikimedia.org/wiki/Special:FilePath/ES%20TEH%20MANIS.jpg
http://www.wikidata.org/entity/Q2035490,East Friesland tea blend,,,,,,,http://www.wikidata.org/entity/Q203415,чёрный чай,
http://www.wikidata.org/entity/Q7130450,Панда чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q6037041,ginseng tea,,,,,,,http://www.wikidata.org/entity/Q111028903,root tea,
http://www.wikidata.org/entity/Q31511,чай юджа,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Korean%20yuja%20tea.jpg
http://www.wikidata.org/entity/Q5208153,daechu-cha,,,,,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q348958,холодный чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/NCI%20iced%20tea.jpg
http://www.wikidata.org/entity/Q6097,чай,,,,,,,http://www.wikidata.org/entity/Q2647467,безалкогольный напиток,http://commons.wikimedia.org/wiki/Special:FilePath/Tea%20in%20different%20grade%20of%20fermentation.jpg
http://www.wikidata.org/entity/Q5032638,Canned tea,,,,,,,http://www.wikidata.org/entity/Q2647467,безалкогольный напиток,
http://www.wikidata.org/entity/Q5032638,Canned tea,,,,,,,http://www.wikidata.org/entity/Q11617958,tea without tea leaves,
http://www.wikidata.org/entity/Q4938043,Wuyi tea,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Hong%20Pao%20Oolong%20tea%20leaf.jpg
http://www.wikidata.org/entity/Q2906397,Tea blending and additives,,,,,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q348958,холодный чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/ES%20TEH%20MANIS.jpg
